professor,course,review,rating,expected_grade,created
Maksym Morawski,CMSC320,"The main issue is poor organization in lecture. Does not provide clear explanations of each topic nor specific examples. Hand written notes are his passing thoughts rather than coherent, structured notes. I often leave class feeling as if I learned nothing. I struggle to take notes because of lack of structure in lectures. Exam was not very relevant to what was covered in lecture, but he is working on this for the next one! Lectures are not really related to the projects.

Despite all this, Max is a funny and really cool dude. I enjoy talking to him and hearing his thoughts and stories. It's obvious he's working to improve. I appreciate he has industry experience, which he ties to what we're learning!

My recommendations for improvement: 
- Organize lectures with clear explanations of each data science technique, use cases, and relevant examples. 
- Create more organized hand written notes that can serve as a reference. 
- Review key concepts necessary for projects and exams.
- Keep sharing cool stories and industry insights!",2,A,2022-11-10T00:27:45.065723Z
Maksym Morawski,CMSC320,"Everyone who gave him a 5 star review doesn't understand that just by curving an exam by 30% makes you a better professor. His lectures are still uninteresting, he goes on niche tangents with 3 kids in the class that make lecture an unbearable nightmare where you don't learn anything. I'm willing to bet that the 3 people who gave him those 5 star reviews are the same people who sit front of the class asking him questions to get him to go on random tangents for 90 minutes.",1,A,2022-11-10T00:57:54.400526Z
Maksym Morawski,CMSC320,Really nice guy passionate about data science. Not a good teacher. If you want to self-teach yourself all of the content in this course then take Maks. His lectures are hard to follow as they involve at least 3 tangents minimum. He is not organized and it is very unclear on how much we need to know about mentioned topics. This makes studying almost impossible. I only did well on the first exam due to prior knowledge and google. I would recommend taking this class with someone else and make your life easier.,1,A+,2022-11-10T23:46:14.584872Z
Maksym Morawski,CMSC320,"Take it with someone else if you actually want to learn something. He's a nice guy, but doesn't really teach anything substantial that's useful for the projects and exams. He talks about various topics at a very surface level but doesn't go into any of the details. The first exam was just STAT 400 questions and student-made questions from Piazza. Also the things we were tested on he didn't really go into much detail in in lecture. Only thing that I have found valuable from this class so far are the projects created by previous professors for the course.",1,A,2022-11-12T00:24:42.136849Z
Maksym Morawski,CMSC320,"Professor Max is a super down to earth dude. I personally really enjoy his class and he makes lectures fun. 

The way he is teaching CMSC320 is unusual but it comes from a person who has worked in the field, which holds a lot of value in my eyes. 

Projects: not easy but he is reusing projects from other semesters so I don’t understand why people are complaining. A lot of project work is fully self taught, which isn’t unusual for CS courses. The project grading is lenient and Max is super easy to talk to if you have any issues. If you don’t want to self learn then you are going to have a lot of trouble in various CS courses, it’s just how it is unfortunately 

Exam 1: This exam was online so we had access to Google and any notes we had taken. The average was around 65% but Max is giving us a generous curve and again, none of this is unusual for a CMSC course, it’s only really bad if the professor isn’t fair with curving based on the averages, which is not the case here. There were technical difficulties but Max accommodated for that and helped anyone that had issues. Also, the vast majority of the grade comes from projects so this isn’t even a big deal

Lectures: Max talks about the fundamental topics briefly and doesn’t go into too much detail. Again, most of the code you will learn is self taught and contained in the projects, lecture is for high level explanations of the different topics of the course. Max also shares stories about projects he had to do in industry and problem solving techniques he used to get his solutions. All very practical and useful information. if you’re a geek that doesn’t care about real life and want to stuff your face in a text book and fully learn everything in depth, this gem of a lecturer isn’t for you. 

Overall thoughts: I personally think this class is a breath of fresh air amongst the sea of boring and difficult computer science courses. Max actually makes me want to come to lecture as opposed to feeling like I have to. I love having professors that are easy to talk to and feel more down to earth. This is definitely one of the rare instances of a professor that understands that students have a life outside of their course and is willing to accommodate for real excuses. 

Other ratings: I honestly feel like Max is getting a lot of unfair reviews. This is his first semester teaching the course and he is demonstrating a clear willingness to learn and improve as a professor. There are lots of complaints about the unorganized lecture styles, which is a fair criticism that I’m sure he will address in the future, but also bs criticism about an exam that isn’t worth very much of our grade and projects that he didn’t even write? These are literally reused projects from other semesters so if that’s the complaint then you have a problem with the class, not Max. There seems to be two sides to this. If you want to hear real life experiences and get advice about how to make it in the industry, then you’ll like Max. If you’re looking for a professor that solely focuses on teaching the class material, then Max is not for you.

Conclusion: He a little confused but he got the spirit",5,B,2022-11-12T11:32:52.662848Z
Maksym Morawski,CMSC320,"Great professor that is a little unorganized but makes up for it with real life industry work experience. Max shares his work stories about projects he did and how he did them, which is a lot more valuable to me then just coursework

Max is a breath of fresh air in the sea of super boring work heavy CMSC courses, love the dude

This is his first semester teaching the course and he is very gracious with curves and listens to student concerns. Super down to earth dude. Some technical difficulties in the class but he’s working on them 

Overall: he a little confused be he got the spirit",5,B,2022-11-12T20:55:01.032636Z
Maksym Morawski,CMSC320,"Has a super fun personality. Unfortunately, this personality also involves him being incredibly hand-wavy for just about every topic, making it impossible to do the projects or the exams without literally learning all of the details and processes (which are deemed uncool) yourself. This is made more difficult by the fact that he's thrown out all of the previous relatively well-structured course material, replacing it with his free-form, tangent-filled lectures, with no useful slides or notes posted. 

Logistics is a nightmare. Completely unreliable and disorganized. Difficult to get in touch with and has yet to timely follow through (if at all) on a single assurance he's made all semester when you do. Hasn't bothered to figure out the most basic software used for the course, making things even worse for students in every way (exams, projects, recordings, notes, slides).

Even if we end up with an insane curve to make up for his incompetence (which seems to be the case from the first exam), we've been taught little in a potentially fascinating course and have been enormously stressed and frustrated.",1,B+,2022-11-13T07:50:29.054960Z
Maksym Morawski,CMSC320,"Horrible teacher. He fails at not only teaching but also responding to relevant questions. His lectures are more about his personal life than it is about data science, and I feel like I wasted a lot of time by even attending the lectures. The fact that he had to curve an exam by >30% in a class that's not even meant to be difficult speaks volumes. As much as I'd like to say he's a good person but bad professor, I'm afraid to say an irresponsible professor is not exactly the best person.

If you're reading this, kindly teach relevant information. As much as some members of the class enjoy your tangents, I (and many others) came here to learn and nothing else. Please teach in a practical and planned manner. I loathe those who are fortunate enough to not value over 90 minutes of time.

To reiterate, if you are reading this: Students come here to learn data science. You are obviously a talented and tested individual, and clearly possess the capability of teaching. I can only assume you think we don't take this course seriously, and therefore neither should you.",1,A,2022-11-13T08:14:53.062387Z
Maksym Morawski,CMSC320,"Absolutely horrid professor and class. If you take this class get prepared to teach yourself all the material related to any assignment or quiz. He has no comprehension of what it's like to be a student in his class where he handwaves every topic briefly with no reinforcement and then assigns us projects where it is NOT RELATED AT ALL to what he is teaching. He is more concerned with his job at EBay than he is with actually being a good professor and to compensate for this just showers the class in extra credit (which does not make him a better professor). Overall, horrible professor. If you enjoy learning any actual material don't take a class with him. You will regret it.",1,W,2022-11-14T19:04:47.952638Z
Maksym Morawski,CMSC320,"READ! This semester was his first time teaching and he caused a blunder with the midterm, which wasn't even that bad in my opinion. That's the only reason a bunch of nutcases spammed him with 1-star reviews. Anyway, he curved very reasonably and is set on not repeating his mistake. Aside from this, he consistently enlightens us about the Data Science industry and teaches us useful concepts relevant to the industry. His lectures are fun to go to! Additionally, he listens. He's always asking for feedback and genuinely feels bad for the mistakes he has caused. You study for exams (both online) by following a well-written study guide he provides. Regarding projects, they are also fun and you learn applicable Data Science skills. There's no final exam, but instead, a final project where you can make what you want to while fulfilling certain requirements. Max is super lenient with your ideas and is super easy to talk to. If you're uneasy because of his reviews, just go talk to him and decide for yourself.",5,A+,2022-11-15T03:19:02.930628Z
Maksym Morawski,CMSC320,"Honestly, ignore the 1-star reviews. He has a 5 star on ratemyprofessor out of 30 ratings. It's from UMBC and it's the same Max, I checked his LinkedIn. I can guarantee the 1-star reviewers are all nerds.

Max is hilarious, makes lectures fun, and teaches valuable course material. People are mad because ""what he says in lecture doesn't help us with the projects"", yea, it doesn't. That is a common occurrence for higher-level CMSC courses. I guess none of those reviewers have gotten past CMSC351/CMSC330 yet.  Projects involve using code to extract text from websites, organizing it, and making graphs/visualizations out of the data to make a point. Do people actually expect Max to stand there for 90 minutes every lecture teaching us how to code in pandas? He showed us the basics then everything else builds on that. Making a pretty visualization is something google helps you with. I do think Max should provide us with documents with code examples relevant to the projects outside of lecture, which is something he currently does not do, otherwise I don't mind his teaching.

Max also uses his experience from working in the field to teach us and explain what is and is not relevant. I love knowing what topics are actually used in the field because I want to work in data science. Knowing what to expect means I can focus on certain topics more and do better on interviews. Everyone that is roasting Max for talking about his work in the field is an absolute donut that just wants to be spoon-fed code instead of learning topics at a high level and figuring out the code on their own. 

Max is also a very considerate and reasonable instructor that understands that students have a life outside of his class and is willing to accommodate for special circumstances. Very down to earth and likable dude",5,B+,2022-11-19T05:07:36.690991Z
Maksym Morawski,CMSC320,"Yeah anyone who gave him a 5 is a complete lunatic. I'll admit he has promise but for now he is currently teaching one of the worst run CS courses in the entire department. Nice guy, would love to get a beer with him some time but the course is so disorganized to the point where it makes learning horrible. He was adamant on changing the slides in the beginning of the year because they ""weren't good"" and now instead teaches off whatever tangents his brain works off of. I can't imagine how Jose feels as he recently revamped the course just to have it ruined by Max. Maybe once he sorts this all out he'll be better, but for now he deserves the 1, ignore anyone who gave him a 5.",1,B,2022-11-22T02:46:29.761981Z
Maksym Morawski,CMSC320,"A pretty unorganized course to be honest, but it's his first semester teaching so it's to be expected. Only problem with this course is that there isn't enough code examples in class and the slides/notes are unorganized if there are any at all. Other than that, he's a cool guy and completely understanding/willing to take feedback. The 1-star reviewers are all crybaby's and think everything they need to know for this class needs to be spoon-fed to them like a little child. People even tried to take advantage of his kindness claiming the stat questions on the midterm shouldn't count because STAT400 isn't a prerequisite for this class. Well... if you made it through CMSC250 and can't solve a simple Bayes Equation question then I really don't know what to tell you.",3,A,2022-11-22T19:06:49.950793Z
Maksym Morawski,CMSC320,Sucks. If you want to learn anything avoid him.,1,A,2022-11-22T21:27:54.232804Z
Maksym Morawski,CMSC320,"terrible professor. picture this: jose, a very good and well respected professor, teaches this class the previous semester, takes his time to redo the course material, makes all these projects and slides, proper organized class. then max comes along, deletes all the slides, keeps the projects because he is too lazy to create new ones (he literally wont stop talking about how he has never even seen the projects) and whos lectures consist of word vomiting material he only has surface level knowledge on, then has exams that are designed to be googled on. he has amassed a weird bunch of groupies who will shill for whatever he says (hence all the 5 stars who sound like they were written by the same person). Do not take any class with this man",1,A,2022-11-25T02:32:13.295092Z
Maksym Morawski,CMSC320,"The worst course I have ever taken! Attending lectures is a total waste of time because you cannot learn anything. You need to teach yourself everything when doing projects and reviewing for exams, and when you are taking the exam you need to google almost everything. If you want to pay a lot of tuition and gain the ability to be a self-learner, take this course with Max. Although Max is a nice professor, who likes talking about his success in the industry, this course is so unorganized and that is because he removed all the good slides from the previous semesters and wants to teach this course in his own way. 
The first exam was a nightmare.  The exam was not related to his lecture and we had no idea about what kinds of problems would be in the exam. He curved a lot to make up for that, but it still can't change the fact that we did not learn ANYTHING.",1,,2022-11-26T18:58:21.429087Z
Maksym Morawski,CMSC320,"AVOID. Not only learn nothing, but also take your time complete projects that are completely unrelated to the course content. Be prepared to spend hours understand the project and google.",1,,2022-11-27T05:48:13.099438Z
Maksym Morawski,CMSC320,"Ill break it down for everyone as best as I can.
Cons: 
- No lecture slides
- He has lecture notes he wrote, but only sometimes do they get posted
- The first midterm was a mess. He put a huge curve on it to make up for it though. 
- Not many code examples
Pros: 
- Relatable nerdy guy with stories from the industry (he is not a professional professor, he is data scientist with an insanly good resume) 
- Willing to do better as a professor, the first exam was a mess, the second one was not. If someone did bad on the second exam it was probably because they did nothing all semester. 
- Gives warm-up questions at the start of lectures which he describes as interview problems 

All in all, he is not the worst professor. The projects are related to the materials despite what some other peoples reviews are saying. The exam questions were related to the lectures, despite what some other reviews are saying. Do the projects require a lot of Googling? Yes, they do. There were not too many code examples given in the course but the documentation surronding what you are doing is actually really good. So, having to Google it, is not like shooting yourself in the foot. 

I'd say 4/5. There is room for improvement, but it could of been way worse. 

I found it was best to skip the in-person lecture as watching the recording of the lecture made taking notes easier as the lectures are actually him just talking to you and not reading off a slide show. So if you cannot take notes based on speech in a quick manner like myself, watch the recordings.",4,A-,2022-12-06T16:27:47.068295Z
Maksym Morawski,CMSC320,oh you thought 351 was the CS weed out class? think again and welcome to 320 with max,1,B,2022-12-10T02:18:39.793055Z
Maksym Morawski,CMSC320,"did an oopsie woopsie with the first midterm, curved it to make up for it

projects are heavy on googling but its not terrible/pretty obvious what to do from the descriptions

second midterm was better written than the first, still relatively low average but imo questions were very googleable (which he hints as a solution for exam problems)",5,A+,2022-12-11T07:04:57.576521Z
Maksym Morawski,CMSC320,"This was genuinely one of my favorite courses at UMD. The lectures were a useful overview of tools available to data scientists, and the projects were realistic representations of what it's like to work with data. Max is a really fun lecturer and I highly recommend stopping by his OH to chat / get life advice. It's really unfortunate that so many people gave him bad ratings after the first midterm - he's a super reasonable guy and adjusted the rest of the course after receiving feedback and I don't think anyone can claim that he made the course unfair. Anyways, highly highly recommend taking him for 320!",5,A,2022-12-12T20:50:06.648292Z
Maksym Morawski,CMSC320,"This was genuinely one of my favorite courses at UMD. The lectures were a useful overview of tools available to data scientists, and the projects were realistic representations of what it's like to work with data. Max is a really fun lecturer and I highly recommend stopping by his OH to chat / get life advice. It's really unfortunate that so many people gave him bad ratings after the first midterm - he's a super reasonable guy and adjusted the rest of the course after receiving feedback and I don't think anyone can claim that he made the course unfair. Anyways, highly highly recommend taking him for 320!",5,A,2022-12-12T20:50:06.672912Z
Maksym Morawski,CMSC320,"This was genuinely one of my favorite courses at UMD. The lectures were a useful overview of tools available to data scientists, and the projects were realistic representations of what it's like to work with data. Max is a really fun lecturer and I highly recommend stopping by his OH to chat / get life advice. It's really unfortunate that so many people gave him bad ratings after the first midterm - he's a super reasonable guy and adjusted the rest of the course after receiving feedback and I don't think anyone can claim that he made the course unfair. Anyways, highly highly recommend taking him for 320!",5,A,2022-12-12T20:52:05.154705Z
Maksym Morawski,CMSC320,"Max gave very interesting lectures and is a great presenter and I feel like I learned a lot in the course. He has a lot of experience in the field so he makes sure to focus on the things that people will need to be successful in their careers. He also gave lectures on important skills that aren't taught in Computer Science like ethics and how to talk to people. He makes the class feel like a safe space for everyone and is very accommodating.

His first test was very disorganized but he gave lots of extra credit to make up for it and worked things out with people who had problems on top of that. The second test was a lot better and he still let people talk him into extra credit for certain questions. The final project is one that will look good to employers and replaces any final test. There are 4 projects in the class that can take a bit of time to complete if you don't understand the tools but once you know how to use the them the projects don't take long at all. Overall, I highly recommend taking this class with him.",5,A+,2022-12-12T22:24:52.487608Z
Maksym Morawski,CMSC320,"Maks is a fun lecturer, as a data scientist who had worked in the industry he shared a lot of interesting stories relating to his experience with past jobs. However the class itself is disorganized, you have to rely heavily on the notes you take during class as he doesn't consistently have official class notes, and the exams didn't have any official practice questions other than student-made ones posted on Piazza. The projects rely heavily on your ability to google the right things as there's not much in the lectures dedicated on teaching students how to use Python other than a few mentions of some random Python methods here and there.
As this is his first semester teaching here he is willing to improve, he does listen to students' feedback. His second exam was much more fair and comprehensive compared to his first exam.",4,B+,2022-12-13T18:51:14.984925Z
Maksym Morawski,CMSC320,"So here's the thing - I don't think the 1-star grades are fair. Maks first and foremost is a genuinely nice person - this goes a long way. The only real issue with the class is the material covered in class is pretty orthogonal to the exams from what I understand

320 also has a reputation of being a very chill class so the departure from this I think makes a lot the ratings (unfairly in some sense) lower - he's a new professor and I truly think he wants everyone to do well.
Also just wanted to point out that the claim in an earlier review that the class material not corresponding with the tests/projects is common in upper level classes is completely wrong. I've taken 6 or 7 (I can't remember) 400 level CS courses - this has never been the case. 

I generally agree with the review left on 12/06/22",3,A+,2022-12-13T22:55:04.638493Z
Maksym Morawski,CMSC320,"This class started off very disorganized, as Max restructured the entire course curriculum. He taught what he thought was useful, and gave lots of stories about his time in industry and was clearly very experienced in the field. The big knock was that exam 1 was poorly structured, and even though I didn't agree and thought it was fine, he gave such a big curve that my 77% became a 110%. Projects were admittedly unrelated to most course content, but there was an emphasis on trying to learn how to Google, and they were easily manageable. Overall, nice professor and good class.",4,A,2022-12-13T23:02:18.554460Z
Maksym Morawski,CMSC320,"This is Max's first semester and I definitely think he will improve as a professor, however I feel like I did not get as much out of this class as I had hoped. He doesn't really have any lecture notes, so sometimes it is hard to follow and know what is and isn't important in lecture. The only exam practice that is given are practice problems created by other students in the class, which is nice practice but gives you no direction about what you actually need to know for exams. He does curve exams pretty generously. He rarely answers Piazza posts, which can be pretty frustrating especially when questions that are asked days before projects are due are never answered. I feel like what we learn in class isn't super helpful with the projects, and I usually spend more time googling than I do coding. It's not too difficult to do well in this class, but unfortunately I don't feel like I have learned a ton. Outside of teaching, Max is a very nice guy and I can tell he genuinely wants everyone to do well in his class, and I think his classes will definitely get better after he gets more practice as a professor.",3,A,2022-12-16T20:25:21.122730Z
Maksym Morawski,CMSC320,Every lecture was kinda scuffed but content was interesting and lot of topics were covered. Max is the chillest lecturer I've had. Definitely has GOAT potential. I'd give it 2 more semesters.,4,A,2022-12-17T05:50:02.159875Z
Maksym Morawski,CMSC320,Good lectures. Reasonable grading.,5,,2022-12-22T04:05:59.529907Z
Maksym Morawski,CMSC320,"He definitely cares about his students and makes the effort to answer questions and improve our understanding of whatever he's lecturing. That being said, here are some general points about his class:
- He redid the CMSC320 curriculum in the beginning of the semester, but relevant lecture slides/notes and recordings sometimes weren't posted until weeks later 
- Projects and class material didn't really line up 
- The first exam had a really low average which led Maks to curve our grades (by a LOT). Second exam went by much better. We also had an opportunity for extra credit for each exam (posting an exam question on Piazza).
- No real practice exams or questions (outside of the questions posted for extra credit)
- He has prior knowledge working as a Data Scientist for places like Google and Ebay and tells us about his experiences there
- Grading is kind of slow -- 2/4 of the mini-projects still aren't graded (and one was turned in around a month ago)
- Googling is an important skill to have
- Maks is open to feedback, willing to improve, answers questions, will offer advice and ways to improve, and cares about his students

This was his first semester here though, and I definitely see things with him improving next semester.",4,A-,2022-12-22T15:19:41.929995Z
Maksym Morawski,CMSC320,"Will be good in 2-3 semesters. But for now he remains disorganized and uncoordinated with the material he teaches in lecture and what he expects from projects and exams.

Very reasonable guy however and generous curve was given for any mistakes. Once he figures out things I imagine he’ll be a great addition to the department.",3,,2022-12-24T18:23:47.184737Z
Maksym Morawski,CMSC320,"Disorganized course admittedly. However, he's a really nice guy and has definitely been trying his best. The biggest thing is that he's always willing to make up for things he's made mistakes with. He curved generously when the exams went (on average) poorly. I did abysmally on the first exam (failed it even after a 15% curve), because the class is harder with Max than it seems to have been with some other professors. The final project was interesting and topic selection was lenient (although grades took a while). I ended up with needing about 0.01% to get an A- and I emailed Max asking if he would round me up. He graciously rounded me all the way to an A (approximately a 3-4% bump iirc). 

Ultimately, you shouldn't *not* take a class because it's with Max. Even if you feel like you don't know what's going on during the class, your grade will reflect your understanding as relative to your peers. Give him a shot, sit in the front of the class, and you'll like him.",5,A,2023-01-06T16:29:59.332532Z
Maksym Morawski,CMSC320,The class was a mess. Lectures kept getting sidetracked. We were never prepared for exams. Exams had weird grading. Grades took forever to come out.,1,A+,2023-01-14T04:20:51.709592Z
Maksym Morawski,CMSC320,"Overhated. He is a nice professor, and chances are if you ask him after lecture, he will accommodate you best he can. Exams could be somewhat challenging, so I recommend you find study groups and follow his study guides he releases. Like any CS course, most of my learning is from Googling and stackoverflow, so I can't really hate on him. He was lenient in the projects being turned in (we had an extra day for like 3 of them). I am sure he will get accustomed to everything in the Spring.",4,A,2023-02-02T02:31:28.028598Z
Maksym Morawski,CMSC320,"I had him in the previous semester. Great guy, cares about his students. He makes class very engaging and tries his best to make sure students understand the material. Some issues did come up, but this was his first time teaching, some mistakes are expected. He also made sure that his mistakes didn't screw over students giving VERY generous curves on exams when they did happen (many of the negative reviews came immediately after the exam, before he announced the curve). For a normal exam with no mistakes, they can be pretty difficult but he also curves it up to an average of 75%. Overall I'd recommend this professor, I genuinely enjoyed his class and he's good at teaching imho. Giving 4 stars for the the mistakes, but I have no doubt that he could get 5 easily. Definitely one of the best CS professors at UMD. For reference, I'd personally put him next to Nelson and Jose Cauldron in ranking.",4,A-,2023-02-09T20:56:10.343456Z
Maksym Morawski,CMSC320,"Took the course in Fall 2022. He was very generous with the curve but I didn't feel like I learned much from his lectures. However, the projects were pretty fun and useful for getting some experience with data science. You can do something meaningful for the final project and add that to your resume as well.",3,A,2023-02-16T22:14:53.967904Z
Maksym Morawski,CMSC351,"While we were spending hours working on Kruskal's homework, he didn't prepare for any single lecture. Everything was up to Kruskal so far, hopefully I can pass this class.",1,P,2023-02-27T02:35:40.728309Z
Maksym Morawski,CMSC351,Makysm is specialized in data science not algorithms and especially not coteaching with kruskal. He struggles in trying to teach Kruskal's Concepts. He rambles in lectures with his Ipad trying to figure out Kruskal's content. No hate amazing lecturer for data science just not 351,1,A,2023-05-08T18:39:22.753018Z
Maksym Morawski,CMSC351,"Maksym did a fantastic job with this course and made it the least stressful it could've been, given he had to coteach it with Kruskal. He genuinely cares a lot about his students, which shows in his effort! His teaching style is also really entertaining.
As Maksym gets more experience at UMD, I think he will easily become known as one of the best professors in the computer science department.",5,A,2023-05-10T13:53:04.974549Z
Maksym Morawski,CMSC320,Max taught this course in his own way this semester and it worked out really well. Definitely didn't feel disorganized like people were saying about previous semesters and I feel like I learned a ton. Great professor with a lot of potential!,5,A,2023-05-10T13:57:34.993069Z
Maksym Morawski,CMSC351,"Incredibly nice and caring man. Like incredibly nice and caring! Class is terribly organized because he himself seems a little disorganized but mainly because he cotaught 351 with Kruskal, whose class is always a mess. His lectures are pretty disorganized but if you pay attention to what he says he gives very very very helpful advice, but you have to listen to what he is saying. There weren't any slides which sucks. Averages on the Kruskal written exams were like in the mid to low 60s, but gave strong curves obviously. Great man, improving professor with lots of potential. CMSC 351 is made unnecessarily difficult when its Kruskals course. Not his fault for the class being bad.",4,,2023-05-11T03:20:07.567333Z
